Plot,Tree,Azimuth,Distance,Species,Snag,Height,DBH_2010,Biomass_J_2010,Biomass_Y_2010,Biomass_C_2010,Biomass_W_2010,Biomass_mean_2010,Volume_W_2010,DBH_2012,Biomass_J_2012,Biomass_Y_2012,Biomass_C_2012,Biomass_W_2012,Biomass_mean_2012,Volume_W_2012,DBH_2015,Biomass_J_2015,Biomass_Y_2015,Biomass_C_2015,Biomass_W_2015,Biomass_mean_2015,Volume_W_2015,DBH_2017,Biomass_J_2017,Biomass_Y_2017,Biomass_C_2017,Biomass_W_2017,Biomass_mean_2017,Volume_W_2017,DBH_2021,Biomass_J_2021,Biomass_Y_2021,Biomass_C_2021,Biomass_W_2021,Biomass_mean_2021,Volume_W_2021,DBH_2023,Biomass_J_2023,Biomass_Y_2023,Biomass_C_2023,Biomass_W_2023,Biomass_mean_2023,Volume_W_2023,DBH_2025,Biomass_J_2025,Biomass_Y_2025,Biomass_C_2025,Biomass_W_2025,Biomass_mean_2025,Volume_W_2025,DBH_2026,Biomass_J_2026,Biomass_Y_2026,Biomass_C_2026,Biomass_W_2026,Biomass_mean_2026,Volume_W_2026
PN_050_23,23,48,8.73,BEPO,,19.74322025,22.9,121.5109919,108.861688,117.9868921,103.4386891,112.9495653,0.363288057,23.5,129.1758321,115.7286177,125.4294342,109.9635393,120.0743558,0.386204049,24.4,141.1836303,126.4864032,137.0889785,120.1854204,131.2361081,0.42210442,25,149.5328398,133.9664593,145.1960417,127.2928538,138.9970487,0.447066508,26.2,167.0679143,149.6761311,162.2225584,142.2199405,155.2966361,0.499492079,26.8,176.2585804,157.9100482,171.146674,150.0436809,163.8397459,0.526969916,27.4,185.7344751,166.3995015,180.3477458,158.1102279,172.6479876,0.555300517,27.7,190.5801079,170.7407035,185.052844,162.2351708,177.1522066,0.56978777
PN_050_24,24,69,5.77,TSCA,,15.78617114,75.1,1781.434386,1325.724997,1431.438368,957.8612091,1374.11474,3.406233229,75.54,1807.445666,1345.082321,1452.339247,971.8472398,1394.178619,3.455968704,76.2,1846.885439,1374.432991,1484.030341,993.0536501,1424.600605,3.531380443,76.64,1873.461443,1394.210577,1505.384993,1007.343328,1445.100085,3.582195711,77.52,1927.295048,1434.272988,1548.641982,1036.289172,1486.624797,3.685129514,77.96,1954.553901,1454.558744,1570.545325,1050.946011,1507.650995,3.73725044,78.4,1982.041618,1475.014818,1592.632567,1065.725909,1528.853728,3.789808972,78.62,1995.871495,1485.306869,1603.745307,1073.162109,1539.521445,3.816252711
PN_050_25,25,74,5.55,TSCA,,13.49231913,22.7,91.49544073,77.70704434,81.53885767,69.23747949,79.99470557,0.263501642,23.14,95.95953163,81.49839511,85.5171638,72.61559756,83.89767204,0.276357969,23.8,102.8951614,87.38882292,91.69805459,77.86400687,89.96151145,0.296332187,24.24,107.6802669,91.45281132,95.96244239,81.48504684,94.14514188,0.310113017,25.12,117.6428708,99.91404713,104.8409103,89.02406271,102.8554728,0.338804747,25.56,122.8226273,104.3132125,109.457003,92.94374752,107.3841476,0.35372215,26,128.1361754,108.8260069,114.1923279,96.96467655,112.0297967,0.369024865,26.22,130.8434666,111.1253083,116.6050102,99.01336898,114.3967885,0.376821709
PN_050_26,26,105,5.35,ACRU,,11.94045742,7.5,0,0,0,0,0,0,8.1,0,0,0,0,0,0,9,0,0,0,0,0,0,9.6,0,0,0,0,0,0,10.8,20.54088687,18.21883431,18.87171056,17.01095107,18.6605957,0.049976752,11.4,23.34287425,20.70406993,21.44600519,19.33141905,21.20609211,0.056794093,12,26.3536171,23.37446218,24.21209158,21.82476803,23.94123472,0.064119344,12.3,27.93851031,24.78019052,25.66819453,23.13729855,25.38104847,0.067975449
PN_051_01,1,336,3.46,FAGR,,9.299394569,17.4,69.92145881,69.73681036,67.37508883,33.26596271,60.07483018,0.119958544,17.88,74.70996005,74.51266614,71.98920446,35.54414893,64.1889949,0.128173785,18.6,82.24583409,82.02863945,79.25064024,39.12943031,70.66363602,0.14110247,19.08,87.50832471,87.2772329,84.32148372,41.6331226,75.18504098,0.150130896,20.04,98.61544157,98.3550181,95.02410631,46.91746508,84.72800777,0.16918647,20.52,104.4642334,104.1883644,100.6598993,49.70009711,89.75314857,0.179220765,21,110.5125774,110.220736,106.4879773,52.57766845,94.94973979,0.189597416,21.24,113.6122118,113.3121849,109.4747305,54.05235623,97.61287084,0.194915206
PN_051_02,2,8,2.77,ACRU,X,15.63780285,14.9,43.97152319,39.28844126,40.79029611,37.00100797,40.26281713,0.110002391,15.5,48.27498705,43.13357499,44.78241538,40.62227212,44.20331239,0.120768252,16.4,55.16909396,49.29344153,51.17775132,46.42350178,50.51594715,0.138015056,17,60.06250077,53.66568775,55.71713267,50.54118912,54.99662758,0.150256762,18.2,70.57705076,63.06041074,65.47098191,59.38893693,64.62434509,0.176560732,18.8,76.20428558,68.08833037,70.6911007,64.12412337,69.77696,0.190638236,19.4,82.08211495,73.34015558,76.14368417,69.07017926,75.15903349,0.205342645,19.7,85.11590832,76.05084204,78.95799036,71.6230454,77.93694653,0.212932205
PN_051_03,3,20,6.44,TSCA,,15.26624493,42.7,438.8343558,348.0981817,370.70087,286.3647361,360.9995359,1.065799703,43.14,450.1408978,357.0669114,380.2519567,293.7429071,370.3006683,1.093259971,43.8,467.423722,370.7762293,394.8514471,305.020947,384.5180864,1.135234873,44.24,479.1621733,380.087564,404.7673848,312.6809638,394.1745214,1.163744122,45.12,503.1626015,399.1255114,425.041503,328.3426279,413.9180609,1.22203411,45.56,515.4262382,408.8534409,435.4010857,336.3453584,424.0065308,1.25181888,46,527.8665897,418.7215464,445.9099464,344.4634055,434.240372,1.282032838,46.22,534.1532897,423.7083685,451.2205725,348.56584,439.4120177,1.297301385
PN_051_04,4,70,4.04,PIST,,22.73814799,45.9,440.6772434,409.1530906,454.9468093,377.9578655,420.6837522,1.689846296,46.66,458.6553355,425.8451074,473.5070498,393.3772261,437.8461797,1.758786121,47.8,486.4205355,451.6241046,502.1713145,417.1907447,464.3516748,1.865256154,48.56,505.467072,469.3081338,521.8345967,433.5264834,482.5340714,1.938293098,50.08,544.860807,505.8838107,562.5039399,467.313506,520.1405159,2.089354579,50.84,565.2138431,524.7808782,583.5160275,484.7697968,539.5701364,2.167401502,51.6,586.0081749,544.087673,604.9837004,502.6045758,559.421031,2.247140642,51.98,596.5717204,553.895548,615.889304,511.664665,569.5053093,2.287648221
PN_051_05,5,96,7.3,PIST,,19.25010086,33.1,198.7934625,183.8321543,203.5465558,172.6337333,189.7014765,0.7704977,33.86,210.091112,194.2795364,215.1143288,182.4446969,200.4824185,0.814285926,35,227.7320718,210.5928276,233.1770788,197.7642387,217.3165542,0.88266,35.76,239.9609173,221.9013233,245.6983123,208.3838598,228.9861032,0.930057421,37.28,265.5581252,245.5720708,271.9075419,230.612667,253.4126013,1.029268881,38.04,278.9334058,257.9407203,285.6026216,242.227861,266.1761522,1.081109736,38.8,292.6976831,270.6690903,299.6959987,254.1808626,279.3109087,1.134458291,39.18,299.7267473,277.1691432,306.8931258,260.2849547,286.0184928,1.161702033
PN_051_06,6,92,8.63,PIST,,18.06696551,29.4,148.9538836,137.5490238,152.0742312,129.4711666,142.0120763,0.576221933,30.16,158.5040191,146.36794,161.8244269,137.7721733,151.1171398,0.613166237,31.3,173.4897509,160.2062685,177.124086,150.7978168,165.4044805,0.67113792,32.06,183.9261525,169.8435926,187.7791136,159.8691686,175.3545068,0.711510707,33.58,205.8859888,190.1220437,210.1989737,178.9567248,196.2909327,0.796461425,34.34,217.4167723,200.7699569,221.9713088,188.9793168,207.2843387,0.841067784,35.1,229.3196202,211.7614468,234.1235025,199.3253082,218.6324694,0.887113458,35.48,235.4116822,217.3870617,240.3431836,204.620547,224.4406186,0.910680348
